Gene	Mean.UTR5.Length_Mouse	Median.UTR5.Length_Mouse	Human	Mean.UTR5.Length_Human	Median.UTR5.Length_Human
ENSMUSG00000090383	42	42	NA	NA	NA
ENSMUSG00000090394	201.66666666666666	131	ENSG00000235750	176.875	135
ENSMUSG00000090411	282.5	282.5	NA	NA	NA
ENSMUSG00000090417	248	248	NA	NA	NA
ENSMUSG00000090436	54	54	NA	NA	NA
ENSMUSG00000090439	128	128	ENSG00000214688	84.66666666666667	97
ENSMUSG00000090440	26	26	NA	NA	NA
ENSMUSG00000090451	39	39	NA	NA	NA
ENSMUSG00000090461	49	49	ENSG00000127318	40.666666666666664	46
ENSMUSG00000090470	228	228	ENSG00000206260	NA	NA
ENSMUSG00000090471	50	50	NA	NA	NA
ENSMUSG00000090472	5	5	NA	NA	NA
ENSMUSG00000090485	53	53	NA	NA	NA
ENSMUSG00000090486	195	195	ENSG00000242950	572	565
ENSMUSG00000090487	5	5	NA	NA	NA
ENSMUSG00000090509	172.5	172.5	NA	NA	NA
ENSMUSG00000090512	7.5	7.5	NA	NA	NA
ENSMUSG00000090515	17	17	ENSG00000206107	26	26
ENSMUSG00000090523	136	153	ENSG00000136732	228.4	106
ENSMUSG00000090527	29	29	NA	NA	NA
ENSMUSG00000090539	80	80	NA	NA	NA
ENSMUSG00000090553	102.75	53	ENSG00000182004	69	69
ENSMUSG00000090556	203.16666666666666	188.5	NA	NA	NA
ENSMUSG00000090581	270.5	270.5	NA	NA	NA
ENSMUSG00000090588	200	200	ENSG00000204544	662	444
ENSMUSG00000090619	139.5	139.5	NA	NA	NA
ENSMUSG00000090626	140.5	81.5	ENSG00000151575	18	21
ENSMUSG00000090629	165.25	101.5	NA	NA	NA
ENSMUSG00000090631	23	23	NA	NA	NA
ENSMUSG00000090634	26	26	NA	NA	NA
ENSMUSG00000090641	102	102	NA	NA	NA
ENSMUSG00000090643	5	5	NA	NA	NA
ENSMUSG00000090655	191	191	NA	NA	NA
ENSMUSG00000090658	164	164	NA	NA	NA
ENSMUSG00000090659	84.5	84.5	NA	NA	NA
ENSMUSG00000090662	116	116	NA	NA	NA
ENSMUSG00000090667	179	179	ENSG00000242120	88	88
ENSMUSG00000090675	48.5	38.5	NA	NA	NA
ENSMUSG00000090685	90	90	ENSG00000272899	80	80
ENSMUSG00000090688	86	86	NA	NA	NA
ENSMUSG00000090691	99.66666666666667	143	NA	NA	NA
ENSMUSG00000090693	152	152	NA	NA	NA
ENSMUSG00000090698	157.5	157.5	ENSG00000178878	51.5	51.5
ENSMUSG00000090700	92.33333333333333	76	NA	NA	NA
ENSMUSG00000090713	29	29	NA	NA	NA
ENSMUSG00000090714	102	102	NA	NA	NA
ENSMUSG00000090715	366.5	366.5	NA	NA	NA
ENSMUSG00000090716	26	26	NA	NA	NA
ENSMUSG00000090733	62	38	NA	NA	NA
ENSMUSG00000090738	224	224	NA	NA	NA
ENSMUSG00000090740	30	30	NA	NA	NA
ENSMUSG00000090744	113	113	NA	NA	NA
ENSMUSG00000090747	48	48	NA	NA	NA
ENSMUSG00000090751	33	33	NA	NA	NA
ENSMUSG00000090762	104	104	NA	NA	NA
ENSMUSG00000090764	34	34	NA	NA	NA
ENSMUSG00000090774	147	147	NA	NA	NA
ENSMUSG00000090777	84	84	ENSG00000234409	69	69
ENSMUSG00000090799	298.5	298.5	ENSG00000185271	77.5	56
ENSMUSG00000090806	104	104	NA	NA	NA
ENSMUSG00000090817	83.5	83.5	NA	NA	NA
ENSMUSG00000090824	132	66	NA	NA	NA
ENSMUSG00000090827	33.5	33.5	NA	NA	NA
ENSMUSG00000090840	50	50	ENSG00000283268	91	91
ENSMUSG00000090841	40.4	43	ENSG00000092841	40.07692307692308	40
ENSMUSG00000090843	85	85	ENSG00000187105	116	79
ENSMUSG00000090854	62	45	NA	NA	NA
ENSMUSG00000090862	57	57	ENSG00000110700	25.5	25.5
ENSMUSG00000090864	33	33	NA	NA	NA
ENSMUSG00000090874	55	29	NA	NA	NA
ENSMUSG00000090877	231	231	ENSG00000204389	214	214
ENSMUSG00000090892	103	103	NA	NA	NA
ENSMUSG00000090894	65.33333333333333	54	ENSG00000243729	106.8	82
ENSMUSG00000090897	38	38	NA	NA	NA
ENSMUSG00000090919	122	125	ENSG00000254535	149	149
ENSMUSG00000090935	201.25	126	ENSG00000213463	127	127
ENSMUSG00000090942	63.5	63.5	NA	NA	NA
ENSMUSG00000090946	280	280	ENSG00000253276	262	262
ENSMUSG00000090949	123	123	NA	NA	NA
ENSMUSG00000090951	190.6	91	ENSG00000196098	NA	NA
ENSMUSG00000090958	204.5	204.5	ENSG00000137507	125.66666666666667	134
ENSMUSG00000090961	96	96	NA	NA	NA
ENSMUSG00000090966	199	199	NA	NA	NA
ENSMUSG00000090981	157.375	122	NA	NA	NA
ENSMUSG00000090996	114.5	114.5	ENSG00000254806	30	30
ENSMUSG00000091002	75	75	ENSG00000176769	86	86
ENSMUSG00000091006	244	244	NA	NA	NA
ENSMUSG00000091012	229	84.5	NA	NA	NA
ENSMUSG00000091013	116.25	113.5	NA	NA	NA
ENSMUSG00000091014	184	184	NA	NA	NA
ENSMUSG00000091017	373	373	ENSG00000162771	404	404
ENSMUSG00000091034	39	42	NA	NA	NA
ENSMUSG00000091039	53	53	NA	NA	NA
ENSMUSG00000091045	12	12	NA	NA	NA
ENSMUSG00000091049	71	71	NA	NA	NA
ENSMUSG00000091055	127	127	ENSG00000197046	136.5	76.5
ENSMUSG00000091059	86	86	NA	NA	NA
ENSMUSG00000091060	68.33333333333333	61	NA	NA	NA
ENSMUSG00000091076	236	236	NA	NA	NA
ENSMUSG00000091077	203.5	203.5	NA	NA	NA
ENSMUSG00000091080	84	84	NA	NA	NA
ENSMUSG00000091091	262	262	ENSG00000171121	289.6	261
ENSMUSG00000091101	29	29	ENSG00000183684	6	6
ENSMUSG00000091110	252.5625	257.5	NA	NA	NA
ENSMUSG00000091119	12.666666666666666	5	ENSG00000198865	35	35
ENSMUSG00000091122	57	57	NA	NA	NA
ENSMUSG00000091129	634	634	ENSG00000214686	22.5	16
ENSMUSG00000091142	101	101	NA	NA	NA
ENSMUSG00000091144	2127	2127	NA	NA	NA
ENSMUSG00000091148	63	63	NA	NA	NA
ENSMUSG00000091151	153.28571428571428	94	NA	NA	NA
ENSMUSG00000091155	31.5	31.5	ENSG00000253309	105.85714285714286	60
ENSMUSG00000091175	16	16	NA	NA	NA
ENSMUSG00000091183	125	125	NA	NA	NA
ENSMUSG00000091204	126	126	ENSG00000250821	237	237
ENSMUSG00000091205	65	65	NA	NA	NA
ENSMUSG00000091206	41	41	NA	NA	NA
ENSMUSG00000091212	54	54	ENSG00000182591	56	56
ENSMUSG00000091228	38.5	38.5	ENSG00000011052	62.4	59
ENSMUSG00000091239	116	116	NA	NA	NA
ENSMUSG00000091243	190	190	ENSG00000206538	391	391
ENSMUSG00000091255	23	23	NA	NA	NA
ENSMUSG00000091259	164	164	NA	NA	NA
ENSMUSG00000091264	395	395	ENSG00000224531	480	480
ENSMUSG00000091296	60	60	NA	NA	NA
ENSMUSG00000091311	31	31	NA	NA	NA
ENSMUSG00000091318	467	467	NA	NA	NA
ENSMUSG00000091337	97	97	ENSG00000255302	42	42
ENSMUSG00000091345	63	63	ENSG00000172752	169	169
ENSMUSG00000091350	43	43	NA	NA	NA
ENSMUSG00000091375	88	88	NA	NA	NA
ENSMUSG00000091376	235	235	ENSG00000197953	109	109
ENSMUSG00000091381	173	173	NA	NA	NA
ENSMUSG00000091382	126.5	93	NA	NA	NA
ENSMUSG00000091387	126	117	ENSG00000176928	238.6	130
ENSMUSG00000091402	223.83333333333334	236.5	ENSG00000227729	222.5	222.5
ENSMUSG00000091405	7	7	ENSG00000270882	28	28
ENSMUSG00000091407	102	102	NA	NA	NA
ENSMUSG00000091411	89	89	NA	NA	NA
ENSMUSG00000091415	18.5	18.5	ENSG00000155085	96.25	63.5
ENSMUSG00000091418	889	889	NA	NA	NA
ENSMUSG00000091450	117	117	NA	NA	NA
ENSMUSG00000091455	6	6	ENSG00000165899	157.14285714285714	123
ENSMUSG00000091468	71	71	NA	NA	NA
ENSMUSG00000091472	208.125	107.5	NA	NA	NA
ENSMUSG00000091474	172.5	172.5	ENSG00000175322	154.5	154.5
ENSMUSG00000091476	81.5	81.5	NA	NA	NA
ENSMUSG00000091477	169	128	NA	NA	NA
ENSMUSG00000091490	51.75	59.5	ENSG00000179046	269.3333333333333	225
ENSMUSG00000091491	22	22	NA	NA	NA
ENSMUSG00000091494	5	5	NA	NA	NA
ENSMUSG00000091504	520	520	NA	NA	NA
ENSMUSG00000091511	17	17	NA	NA	NA
ENSMUSG00000091512	99	122	ENSG00000109270	57.333333333333336	42
ENSMUSG00000091519	42	42	ENSG00000215474	167	167
ENSMUSG00000091528	33	33	NA	NA	NA
ENSMUSG00000091531	83.33333333333333	55	NA	NA	NA
ENSMUSG00000091537	140.5	140.5	ENSG00000232112	40	40
ENSMUSG00000091541	663.6	150	NA	NA	NA
ENSMUSG00000091563	67.18181818181819	76	NA	NA	NA
ENSMUSG00000091568	262.4	125	NA	NA	NA
ENSMUSG00000091572	226.33333333333334	156	NA	NA	NA
ENSMUSG00000091586	77.66666666666667	115	NA	NA	NA
ENSMUSG00000091594	198.28571428571428	145	NA	NA	NA
ENSMUSG00000091601	245	81	NA	NA	NA
ENSMUSG00000091614	72.4	78	ENSG00000286105	163.8	70
ENSMUSG00000091617	103.83333333333333	123	NA	NA	NA
ENSMUSG00000091618	94.66666666666667	88	NA	NA	NA
ENSMUSG00000091620	151	151	NA	NA	NA
ENSMUSG00000091624	91	91	NA	NA	NA
ENSMUSG00000091625	27	24	ENSG00000106355	109.25	68.5
ENSMUSG00000091631	26	26	NA	NA	NA
ENSMUSG00000091635	92	92	NA	NA	NA
ENSMUSG00000091636	200	200	ENSG00000231824	109.5	109.5
ENSMUSG00000091648	91.5	91.5	ENSG00000225556	210.75	194
ENSMUSG00000091649	36	36	NA	NA	NA
ENSMUSG00000091650	63.5	63.5	NA	NA	NA
ENSMUSG00000091651	33	33	NA	NA	NA
ENSMUSG00000091652	302	179	NA	NA	NA
ENSMUSG00000091656	123	123	NA	NA	NA
ENSMUSG00000091662	685	685	NA	NA	NA
ENSMUSG00000091670	177.5	177.5	NA	NA	NA
ENSMUSG00000091679	197.66666666666666	245	NA	NA	NA
ENSMUSG00000091685	102.5	102.5	ENSG00000164123	133	133
ENSMUSG00000091692	157	157	NA	NA	NA
ENSMUSG00000091694	111.5	81	NA	NA	NA
ENSMUSG00000091698	26	26	NA	NA	NA
ENSMUSG00000091700	19.5	6.5	NA	NA	NA
ENSMUSG00000091705	91	91	NA	NA	NA
ENSMUSG00000091712	49.666666666666664	41	ENSG00000103184	83.5	83.5
ENSMUSG00000091721	67	73	ENSG00000250298	35.5	35.5
ENSMUSG00000091722	74	74	ENSG00000215475	124	124
ENSMUSG00000091725	30	30	NA	NA	NA
ENSMUSG00000091733	10	10	NA	NA	NA
ENSMUSG00000091734	84.16666666666667	67.5	NA	NA	NA
ENSMUSG00000091735	211	211	ENSG00000180929	272	272
ENSMUSG00000091736	217	217	NA	NA	NA
ENSMUSG00000091756	3441	3441	NA	NA	NA
ENSMUSG00000091764	102	102	NA	NA	NA
ENSMUSG00000091779	62	45	NA	NA	NA
ENSMUSG00000091780	189	158	ENSG00000284194	132.8	145
ENSMUSG00000091792	60	60	NA	NA	NA
ENSMUSG00000091794	254	254	NA	NA	NA
ENSMUSG00000091803	141	148	ENSG00000133983	96	96
ENSMUSG00000091805	95	95	NA	NA	NA
ENSMUSG00000091809	112.33333333333333	128	ENSG00000177151	27	27
ENSMUSG00000091811	327	327	ENSG00000257704	35	35
ENSMUSG00000091827	30	30	NA	NA	NA
ENSMUSG00000091844	183	183	ENSG00000175820	140	140
ENSMUSG00000091859	45	45	NA	NA	NA
ENSMUSG00000091863	93	93	NA	NA	NA
ENSMUSG00000091867	21	21	NA	NA	NA
ENSMUSG00000091873	34.333333333333336	20	ENSG00000274792	NA	NA
ENSMUSG00000091874	131	131	NA	NA	NA
ENSMUSG00000091879	184.25	189.5	NA	NA	NA
ENSMUSG00000091888	47	47	NA	NA	NA
ENSMUSG00000091896	431	431	ENSG00000109332	172.625	126
ENSMUSG00000091897	60	60	NA	NA	NA
ENSMUSG00000091898	43	43	ENSG00000114854	26	26
ENSMUSG00000091903	56.5	56.5	NA	NA	NA
ENSMUSG00000091923	76	26	NA	NA	NA
ENSMUSG00000091924	361	195	NA	NA	NA
ENSMUSG00000091926	29	29	NA	NA	NA
ENSMUSG00000091930	287	287	NA	NA	NA
ENSMUSG00000091931	55	55	NA	NA	NA
ENSMUSG00000091933	38	38	NA	NA	NA
ENSMUSG00000091945	115	115	NA	NA	NA
ENSMUSG00000091950	37	37	NA	NA	NA
ENSMUSG00000091955	65	65	ENSG00000034510	39	39
ENSMUSG00000091956	60	60	NA	NA	NA
ENSMUSG00000091962	255	255	NA	NA	NA
ENSMUSG00000091971	231	231	NA	NA	NA
ENSMUSG00000091972	48	48	ENSG00000198398	92	92
ENSMUSG00000091983	75.8	97	NA	NA	NA
ENSMUSG00000091987	38	38	NA	NA	NA
ENSMUSG00000091996	221	221	ENSG00000255274	131.25	118
ENSMUSG00000092008	92	92	NA	NA	NA
ENSMUSG00000092019	247	247	NA	NA	NA
ENSMUSG00000092021	41.5	41.5	NA	NA	NA
ENSMUSG00000092032	42	42	NA	NA	NA
ENSMUSG00000092035	461.25	223	ENSG00000242265	170.4	217
ENSMUSG00000092036	5	5	NA	NA	NA
ENSMUSG00000092043	45.333333333333336	38	NA	NA	NA
ENSMUSG00000092048	91	91	NA	NA	NA
ENSMUSG00000092049	72	72	NA	NA	NA
ENSMUSG00000092060	258	220	ENSG00000188848	237.25	239
ENSMUSG00000092074	59	59	NA	NA	NA
ENSMUSG00000092077	54.75	47.5	NA	NA	NA
ENSMUSG00000092080	219	219	NA	NA	NA
ENSMUSG00000092083	160	160	NA	NA	NA
ENSMUSG00000092094	378	378	ENSG00000182348	209.5	209.5
ENSMUSG00000092109	198	198	NA	NA	NA
ENSMUSG00000092111	200	200	NA	NA	NA
ENSMUSG00000092118	13	13	ENSG00000183161	13	13
ENSMUSG00000092120	194	194	NA	NA	NA
ENSMUSG00000092162	156	156	NA	NA	NA
ENSMUSG00000092164	102	102	ENSG00000111404	65.25	77.5
ENSMUSG00000092165	220	220	NA	NA	NA
ENSMUSG00000092166	41	41	NA	NA	NA
ENSMUSG00000092167	31	31	NA	NA	NA
ENSMUSG00000092192	90	90	NA	NA	NA
ENSMUSG00000092210	192	192	NA	NA	NA
ENSMUSG00000092212	42	42	NA	NA	NA
ENSMUSG00000092216	154	154	NA	NA	NA
ENSMUSG00000092225	101.5	101.5	NA	NA	NA
ENSMUSG00000092232	54	66	ENSG00000258643	106.2	62
ENSMUSG00000092243	10	10	NA	NA	NA
ENSMUSG00000092244	73.33333333333333	8	NA	NA	NA
ENSMUSG00000092260	132	132	ENSG00000257355	166	166
ENSMUSG00000092277	152	152	NA	NA	NA
ENSMUSG00000092292	63	63	NA	NA	NA
ENSMUSG00000092305	127	127	ENSG00000229937	64	64
ENSMUSG00000092310	40	40	NA	NA	NA
ENSMUSG00000092322	68.75	76	NA	NA	NA
ENSMUSG00000092335	144.66666666666666	146	NA	NA	NA
ENSMUSG00000092342	62.5	62.5	NA	NA	NA
ENSMUSG00000092349	85	85	ENSG00000285064	21	21
ENSMUSG00000092356	42.5	42.5	NA	NA	NA
ENSMUSG00000092372	78.5	78.5	NA	NA	NA
ENSMUSG00000092401	59.5	59.5	NA	NA	NA
ENSMUSG00000092413	157.8	127	NA	NA	NA
ENSMUSG00000092416	136	117	NA	NA	NA
ENSMUSG00000092417	117.33333333333333	34	ENSG00000204438	197.625	160
ENSMUSG00000092456	114	152	NA	NA	NA
ENSMUSG00000092470	207	207	NA	NA	NA
ENSMUSG00000092473	1782	1782	NA	NA	NA
ENSMUSG00000092511	47	47	ENSG00000244255	42	42
ENSMUSG00000092517	54.666666666666664	52	NA	NA	NA
ENSMUSG00000092518	191	191	ENSG00000267706	NA	NA
ENSMUSG00000092519	72	72	ENSG00000181786	94	94
ENSMUSG00000092544	95	95	ENSG00000198551	145	145
ENSMUSG00000092558	97	97	ENSG00000288721	89	89
ENSMUSG00000092572	36.5	36.5	ENSG00000242550	46	46
ENSMUSG00000092579	316.6666666666667	190	NA	NA	NA
ENSMUSG00000092586	56.5	56.5	ENSG00000204421	69.2	67
ENSMUSG00000092592	121	121	NA	NA	NA
ENSMUSG00000092607	116	116	ENSG00000163156	79	54
ENSMUSG00000092622	112	112	ENSG00000203908	72	72
ENSMUSG00000093376	47	47	NA	NA	NA
ENSMUSG00000093445	78.33333333333333	86	NA	NA	NA
ENSMUSG00000093485	37	37	NA	NA	NA
ENSMUSG00000093536	86	82	NA	NA	NA
ENSMUSG00000093550	58.25	69.5	ENSG00000214511	94.8	77
ENSMUSG00000093575	82.5	82.5	ENSG00000103351	49.8	56
ENSMUSG00000093639	16	16	ENSG00000262874	234.33333333333334	215
ENSMUSG00000093661	19	19	ENSG00000163412	103.875	101.5
ENSMUSG00000093668	39	39	ENSG00000248483	37	37
ENSMUSG00000093674	108.66666666666667	108.5	NA	NA	NA
ENSMUSG00000093696	51	51	NA	NA	NA
ENSMUSG00000093701	38	38	NA	NA	NA
ENSMUSG00000093752	11	11	NA	NA	NA
ENSMUSG00000093755	96.75	73.5	NA	NA	NA
ENSMUSG00000093769	133.5	133.5	NA	NA	NA
ENSMUSG00000093789	61	61	NA	NA	NA
ENSMUSG00000093803	313	313	NA	NA	NA
ENSMUSG00000093804	166	163	ENSG00000230178	19	19
ENSMUSG00000093805	126	126	NA	NA	NA
ENSMUSG00000093806	122	122	ENSG00000196433	67.33333333333333	36
ENSMUSG00000093825	41.333333333333336	29	NA	NA	NA
ENSMUSG00000093839	288	203	NA	NA	NA
ENSMUSG00000093847	248	248	NA	NA	NA
ENSMUSG00000093848	177.33333333333334	126	NA	NA	NA
ENSMUSG00000093866	169.5	193	NA	NA	NA
ENSMUSG00000093868	203	203	NA	NA	NA
ENSMUSG00000093877	87.6	90	NA	NA	NA
ENSMUSG00000093884	187	233	ENSG00000171942	20	20
ENSMUSG00000093895	30.666666666666668	34	NA	NA	NA
ENSMUSG00000093901	129.66666666666666	17	NA	NA	NA
ENSMUSG00000093903	164.5	163.5	NA	NA	NA
ENSMUSG00000093904	118	118	ENSG00000173726	122	122
ENSMUSG00000093910	102.33333333333333	59	ENSG00000236609	565	565
ENSMUSG00000093918	38	38	NA	NA	NA
ENSMUSG00000093920	252	262.5	ENSG00000255713	115	72
ENSMUSG00000093923	66	66	NA	NA	NA
ENSMUSG00000093927	203	203	NA	NA	NA
ENSMUSG00000093930	46.75	54.5	ENSG00000112972	70.75	58
ENSMUSG00000093931	155	155	NA	NA	NA
ENSMUSG00000093934	90.5	90.5	NA	NA	NA
ENSMUSG00000093938	83	83	ENSG00000185862	74.25	74.5
ENSMUSG00000093942	93	98	NA	NA	NA
ENSMUSG00000093945	104.25	108.5	NA	NA	NA
ENSMUSG00000093950	203	203	NA	NA	NA
ENSMUSG00000093954	171	171	NA	NA	NA
ENSMUSG00000093957	43	43	NA	NA	NA
ENSMUSG00000093962	119	119	NA	NA	NA
ENSMUSG00000093973	59	59	NA	NA	NA
ENSMUSG00000093979	87	96	NA	NA	NA
ENSMUSG00000093985	65.25	71	NA	NA	NA
ENSMUSG00000093987	49.333333333333336	72	NA	NA	NA
ENSMUSG00000093989	78	78	NA	NA	NA
ENSMUSG00000093993	32.75	30.5	NA	NA	NA
ENSMUSG00000093996	62	62	ENSG00000205108	61	61
ENSMUSG00000094004	78	119	NA	NA	NA
ENSMUSG00000094021	433.75	71.5	NA	NA	NA
ENSMUSG00000094024	65	65	NA	NA	NA
ENSMUSG00000094025	98	98	NA	NA	NA
ENSMUSG00000094027	104.5	104.5	NA	NA	NA
ENSMUSG00000094035	148	148	ENSG00000187942	138	138
ENSMUSG00000094043	50.5	50.5	NA	NA	NA
ENSMUSG00000094052	200	200	NA	NA	NA
ENSMUSG00000094053	19	19	NA	NA	NA
ENSMUSG00000094063	38.5	38.5	ENSG00000167360	90	90
ENSMUSG00000094065	75	75	NA	NA	NA
ENSMUSG00000094076	95	95	NA	NA	NA
ENSMUSG00000094080	99.33333333333333	63	NA	NA	NA
ENSMUSG00000094081	202.5	202.5	NA	NA	NA
ENSMUSG00000094084	93	93	NA	NA	NA
ENSMUSG00000094091	69	69	ENSG00000167117	83	95
ENSMUSG00000094098	95	95	NA	NA	NA
ENSMUSG00000094103	114	114	NA	NA	NA
ENSMUSG00000094105	15	15	NA	NA	NA
ENSMUSG00000094112	154.5	154.5	NA	NA	NA
ENSMUSG00000094113	22	22	NA	NA	NA
ENSMUSG00000094116	117	117	NA	NA	NA
ENSMUSG00000094119	127.4	111	NA	NA	NA
ENSMUSG00000094132	145	85	NA	NA	NA
ENSMUSG00000094133	125.66666666666667	54	ENSG00000176495	409.25	212.5
ENSMUSG00000094140	181	181	NA	NA	NA
ENSMUSG00000094144	62	45	NA	NA	NA
ENSMUSG00000094145	55	55	NA	NA	NA
ENSMUSG00000094151	195.6	162.5	NA	NA	NA
ENSMUSG00000094152	157.5	157.5	ENSG00000063127	115.33333333333333	138
ENSMUSG00000094156	97	97	ENSG00000105398	58	58
ENSMUSG00000094157	72	72	NA	NA	NA
ENSMUSG00000094181	30.666666666666668	34	NA	NA	NA
ENSMUSG00000094182	148.33333333333334	212	NA	NA	NA
ENSMUSG00000094186	53	53	NA	NA	NA
ENSMUSG00000094192	530.2	291	NA	NA	NA
ENSMUSG00000094195	40	40	NA	NA	NA
ENSMUSG00000094200	100.5	75	NA	NA	NA
ENSMUSG00000094237	69	30	NA	NA	NA
ENSMUSG00000094248	2	2	NA	NA	NA
ENSMUSG00000094254	169	169	NA	NA	NA
ENSMUSG00000094258	34	34	NA	NA	NA
ENSMUSG00000094269	57.5	57.5	NA	NA	NA
ENSMUSG00000094271	160	160	NA	NA	NA
ENSMUSG00000094273	85	85	NA	NA	NA
ENSMUSG00000094285	220.33333333333334	102	NA	NA	NA
ENSMUSG00000094294	200	200	NA	NA	NA
ENSMUSG00000094295	130	130	NA	NA	NA
ENSMUSG00000094305	22	22	NA	NA	NA
ENSMUSG00000094307	85	85	NA	NA	NA
ENSMUSG00000094311	88	88	ENSG00000281613	101.6	111
ENSMUSG00000094314	30	30	NA	NA	NA
ENSMUSG00000094325	177.25	189	NA	NA	NA
ENSMUSG00000094328	93.33333333333333	94	NA	NA	NA
ENSMUSG00000094347	185	250	NA	NA	NA
ENSMUSG00000094353	75.66666666666667	104	NA	NA	NA
ENSMUSG00000094362	45	45	NA	NA	NA
ENSMUSG00000094370	114.25	99.5	NA	NA	NA
ENSMUSG00000094378	76	76	NA	NA	NA
ENSMUSG00000094379	472.5	472.5	NA	NA	NA
ENSMUSG00000094380	122	122	NA	NA	NA
ENSMUSG00000094396	60	60	NA	NA	NA
ENSMUSG00000094399	29	29	NA	NA	NA
ENSMUSG00000094410	1721	1721	ENSG00000257315	1900	1900
ENSMUSG00000094422	57.333333333333336	25	NA	NA	NA
ENSMUSG00000094426	50	50	NA	NA	NA
ENSMUSG00000094429	210	210	NA	NA	NA
ENSMUSG00000094430	43	43	NA	NA	NA
ENSMUSG00000094439	52	52	NA	NA	NA
ENSMUSG00000094441	105	105	NA	NA	NA
ENSMUSG00000094443	151.33333333333334	219	NA	NA	NA
ENSMUSG00000094445	26.666666666666668	21	NA	NA	NA
ENSMUSG00000094447	55.5	55.5	NA	NA	NA
ENSMUSG00000094449	99.5	117	NA	NA	NA
ENSMUSG00000094460	82	82	NA	NA	NA
ENSMUSG00000094464	71.5	71.5	NA	NA	NA
ENSMUSG00000094475	50.666666666666664	52	NA	NA	NA
ENSMUSG00000094483	31	31	ENSG00000146676	182	182
ENSMUSG00000094484	202.5	202.5	NA	NA	NA
ENSMUSG00000094488	84.25	105	NA	NA	NA
ENSMUSG00000094493	219.5	219.5	NA	NA	NA
ENSMUSG00000094496	58.5	58.5	NA	NA	NA
ENSMUSG00000094500	54.5	54.5	ENSG00000253457	56.666666666666664	60
ENSMUSG00000094511	38	38	ENSG00000234414	76	76
ENSMUSG00000094520	109	109	NA	NA	NA
ENSMUSG00000094531	42.25	39.5	ENSG00000205409	NA	NA
ENSMUSG00000094535	8	8	ENSG00000161807	NA	NA
ENSMUSG00000094539	102	102	NA	NA	NA
ENSMUSG00000094553	135	181	NA	NA	NA
ENSMUSG00000094556	167.5	167.5	NA	NA	NA
ENSMUSG00000094558	85	85	NA	NA	NA
ENSMUSG00000094559	88	88	NA	NA	NA
ENSMUSG00000094570	29	29	NA	NA	NA
ENSMUSG00000094575	203	203	NA	NA	NA
ENSMUSG00000094584	76	76	ENSG00000214782	43.5	43.5
ENSMUSG00000094586	184	183	NA	NA	NA
ENSMUSG00000094588	165.33333333333334	144	NA	NA	NA
ENSMUSG00000094590	117.33333333333333	165	NA	NA	NA
ENSMUSG00000094592	75	75	NA	NA	NA
ENSMUSG00000094595	69	69	ENSG00000265817	76	76
ENSMUSG00000094596	85	85	NA	NA	NA
ENSMUSG00000094601	127	127	NA	NA	NA
ENSMUSG00000094602	315.2	247	NA	NA	NA
ENSMUSG00000094606	118	118	NA	NA	NA
ENSMUSG00000094612	122.5	143	NA	NA	NA
ENSMUSG00000094616	29	29	NA	NA	NA
ENSMUSG00000094622	86.5	86.5	NA	NA	NA
ENSMUSG00000094624	81.5	81.5	NA	NA	NA
ENSMUSG00000094626	53	53	ENSG00000183307	143.33333333333334	116
ENSMUSG00000094632	155.5	155.5	NA	NA	NA
ENSMUSG00000094637	468	468	NA	NA	NA
ENSMUSG00000094647	29	29	NA	NA	NA
ENSMUSG00000094649	314	314	NA	NA	NA
ENSMUSG00000094651	248	248	NA	NA	NA
ENSMUSG00000094658	70	62.5	NA	NA	NA
ENSMUSG00000094660	200	200	NA	NA	NA
ENSMUSG00000094662	45	45	NA	NA	NA
ENSMUSG00000094669	114	97	NA	NA	NA
ENSMUSG00000094672	273	273	NA	NA	NA
ENSMUSG00000094673	148	210	NA	NA	NA
ENSMUSG00000094678	124.33333333333333	169	NA	NA	NA
ENSMUSG00000094679	202.5	202.5	NA	NA	NA
ENSMUSG00000094682	88	81	NA	NA	NA
ENSMUSG00000094686	75	75	NA	NA	NA
ENSMUSG00000094690	51	51	NA	NA	NA
ENSMUSG00000094692	73.66666666666667	68	ENSG00000196832	306.3333333333333	144
ENSMUSG00000094695	24	24	ENSG00000187186	130.25	57
ENSMUSG00000094701	147	160.5	NA	NA	NA
ENSMUSG00000094706	63	63	NA	NA	NA
ENSMUSG00000094714	42.5	42.5	NA	NA	NA
ENSMUSG00000094715	32	32	NA	NA	NA
ENSMUSG00000094721	158.5	158.5	NA	NA	NA
ENSMUSG00000094724	116.42857142857143	61	ENSG00000249141	NA	NA
ENSMUSG00000094729	200	200	NA	NA	NA
ENSMUSG00000094734	124.25	90.5	NA	NA	NA
ENSMUSG00000094739	200	200	NA	NA	NA
ENSMUSG00000094745	57.5	57.5	NA	NA	NA
ENSMUSG00000094746	107.66666666666667	44	NA	NA	NA
ENSMUSG00000094747	81	87	NA	NA	NA
ENSMUSG00000094759	81.5	81.5	NA	NA	NA
ENSMUSG00000094764	271.3333333333333	74	NA	NA	NA
ENSMUSG00000094773	202.5	202.5	NA	NA	NA
ENSMUSG00000094777	32	32	NA	NA	NA
ENSMUSG00000094778	163.5	163.5	NA	NA	NA
ENSMUSG00000094782	30.666666666666668	34	NA	NA	NA
ENSMUSG00000094789	29	29	NA	NA	NA
ENSMUSG00000094793	111	111	NA	NA	NA
